site_code,Family,local_name,standard_taxon,number_plots_observed,provenance,lifespan,lifeform,functional_group,photosynthetic_pathway
arch.us,Gentianaceae,"Sabatia brevifolia","Sabatia brevifolia",1,NAT,ANNUAL,FORB,FORB,NULL
arch.us,Hypericaceae,"Hypericum edisonianum","Hypericum edisonianum",30,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Hypericaceae,"Hypericum reductum","Hypericum reductum",7,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Melastomataceae,"Rhexia mariana","Rhexia mariana",13,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Myricaceae,"Myrica cerifera","Morella cerifera",2,NAT,PERENNIAL,SHRUB,WOODY,NULL
arch.us,Onagraceae,"Ludwigia alata","Ludwigia alata",2,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Onagraceae,"Ludwigia pilosa","Ludwigia pilosa",1,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Onagraceae,"Ludwigia sp.","Ludwigia sp.",7,UNK,NULL,NULL,FORB,NULL
arch.us,Onagraceae,"Ludwigia suffruticosa","Ludwigia suffruticosa",3,NAT,PERENNIAL,FORB,FORB,NULL
arch.us,Poaceae,"Amphicarpum muhlenbergianum","Amphicarpum muhlenbergianum",23,NAT,PERENNIAL,NULL,GRASS,C3
arch.us,Poaceae,"Andropogon sp.","Andropogon sp.",3,NAT,PERENNIAL,GRASS,GRASS,NULL
arch.us,Poaceae,"Andropogon virginicus","Andropogon virginicus",6,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Andropogon virginicus var glaucus","Andropogon virginicus var. glaucus",10,NAT,PERENNIAL,NULL,GRASS,C4
arch.us,Poaceae,"Andropogon virginicus var virginicus","Andropogon virginicus var. virginicus",3,NAT,PERENNIAL,NULL,GRASS,C4
arch.us,Poaceae,"Aristida spiciformis","Aristida spiciformis",17,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Aristida stricta","Aristida stricta",4,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Axonopus furcatus","Axonopus furcatus",30,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Axonopus sp.","Axonopus sp.",28,NAT,NULL,NULL,GRASS,NULL
arch.us,Poaceae,"Dichanthelium sp.","Panicum sp.",30,NAT,PERENNIAL,GRASS,GRASS,NULL
arch.us,Poaceae,"Eragrostis elliottii","Eragrostis elliottii",4,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Gymnopogon chapmanianus","Gymnopogon chapmanianus",1,NAT,PERENNIAL,GRASS,GRASS,C4
arch.us,Poaceae,"Panicum hemitomon","Panicum hemitomon",1,NAT,PERENNIAL,GRASS,GRASS,"C3-C4 Intermediate"
